"ID","Time","Catholic","Protestant","OtherReligion","ReligiousNones","Unknown","NeverMarried","Married","Separated","Widowed","UnknownMaritalStatus","NoKid","HasKid","NoAnswerKid","GrossHHIncome","IncomeRatio","YesPayingJob","NoPayingJob","NoAnswerPayingJob","PoorIncome","ModerateIncome","HighIncome","UnknownIncome","RatioBelowPov","RatioLow","RatioMid","RatioHigh","RatioUnknown","NoNeedReligionForGoodValues","NeedReligionForGoodValues","SkippedOnGoodValues","YesObey","NoObey","SkippedOnObey","PrayMoreThanOnce","PrayLessThanOnce","SkippedOnPray","Rural","Urban","UnknownSpace","NoAnswerResidence","Time_year","sex","race","birth_month","birth_year","sample_type","Age"
1,"1",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1997,2,4,9,1981,1,16
1,"2",0,0,1,0,0,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2005,2,4,9,1981,1,24
1,"3",0,0,1,0,0,1,0,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2008,2,4,9,1981,1,27
1,"4",0,0,1,0,0,1,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2011,2,4,9,1981,1,30
2,"1",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1997,1,2,7,1982,1,15
2,"2",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2005,1,2,7,1982,1,23
2,"3",1,0,0,0,0,1,0,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2008,1,2,7,1982,1,26
2,"4",1,0,0,0,0,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2011,1,2,7,1982,1,29
3,"1",0,0,0,1,0,0,0,0,0,1,0,0,1,4,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1997,2,2,9,1983,1,14
3,"2",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2005,2,2,9,1983,1,22
3,"3",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2008,2,2,9,1983,1,25
3,"4",0,1,0,0,0,1,0,0,0,0,1,1,0,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2011,2,2,9,1983,1,28
4,"1",1,0,0,0,0,0,0,0,0,1,0,0,1,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1997,2,2,2,1981,1,16
4,"2",1,0,0,0,0,1,0,0,0,0,1,1,0,4,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2005,2,2,2,1981,1,24
4,"3",1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2008,2,2,2,1981,1,27
4,"4",1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,2011,2,2,2,1981,1,30
5,"1",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1997,1,2,10,1982,1,15
5,"2",1,0,0,0,0,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2005,1,2,10,1982,1,23
5,"3",1,0,0,0,0,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2008,1,2,10,1982,1,26
5,"4",1,0,0,0,0,0,1,0,0,0,1,1,0,4,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2011,1,2,10,1982,1,29
6,"1",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1997,2,2,1,1982,1,15
6,"2",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2005,2,2,1,1982,1,23
6,"3",0,1,0,0,0,0,1,0,0,0,1,1,0,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2008,2,2,1,1982,1,26
6,"4",0,1,0,0,0,0,1,0,0,0,1,1,0,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2011,2,2,1,1982,1,29
7,"1",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1997,1,2,4,1983,1,14
7,"2",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2005,1,2,4,1983,1,22
7,"3",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2008,1,2,4,1983,1,25
7,"4",1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2011,1,2,4,1983,1,28
8,"1",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1997,2,4,6,1981,1,16
8,"2",1,0,0,0,0,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2005,2,4,6,1981,1,24
8,"3",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2008,2,4,6,1981,1,27
8,"4",1,0,0,0,0,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2011,2,4,6,1981,1,30
9,"1",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1997,1,4,10,1982,1,15
9,"2",1,0,0,0,0,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2005,1,4,10,1982,1,23
9,"3",1,0,0,0,0,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2008,1,4,10,1982,1,26
9,"4",1,0,0,0,0,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2011,1,4,10,1982,1,29
